video_id,concept_id
104051118,properties-of-geometric-figures
104051119,properties-of-geometric-figures
104051120,sum-of-interior-angles-more-than-3-sides
104051121,sum-of-interior-angles-more-than-3-sides
104051088,point-plotting
104051089,transformations-rotations
104051090,transformations-rotations
104051091,point-plotting
104051092,point-plotting
104051074,reading-graph
104051204,area
104051205,area
104051206,perimeter
104051207,perimeter
104051182,area
104051183,area
104051184,perimeter
104051185,area
104051186,area
104051093,square-root
104051094,square-root
104051095,square-root
104051096,square-root
104051097,square-root
104051098,square-root
104051099,square-root
104051100,square-root
104051101,square-root
104051122,isosceles-triangle
104051125,isosceles-triangle
104051126,application: isosceles triangle
104051113,multiplying-decimals
104051215,area
104051216,proportion
104051217,perimeter
104051218,area
104051231,area
104051232,pythagorean-theorem
104051233,area
104051077,interpreting-linear-equations
104051078,interpreting-linear-equations
104051079,interpreting-linear-equations
104051080,interpreting-linear-equations
104051081,interpreting-linear-equations
104051082,interpreting-linear-equations
104051160,multiplying-decimals
104051066,square-root
104051190,pattern-finding
104051174,proportion
104051175,proportion
104051176,proportion
104050673,application: compare points
104050674,application: multi-column subtraction
104050675,application: multi-column subtraction
104050676,application: simple multiplication
104050667,application: compare expressions
104050668,application: order of operations
104050677,application: multi-column addition
104050672,application: compare points
104050662,noskill
104050665,application: read points
104050663,application: find slope in graph
104050664,application: read points
104050669,application: order of operations
104050670,application: order of operations
104050666,p-patterns-relations-algebra
104050671,application: compare points
104051177,pythagorean-theorem
104051178,pythagorean-theorem
104051179,pythagorean-theorem
104051180,pythagorean-theorem
104051135,percent-of
104051136,venn-diagram
104051137,venn-diagram
104051138,percent-of
104051107,equivalent-fractions-decimals-percents
104051108,of-means-multiply
104051109,equivalent-fractions-decimals-percents
104051110,fraction-multiplication
104051111,equivalent-fractions-decimals-percents
104051259,supplementary-angles
104051260,supplementary-angles
104051261,transversals
104051212,triangle-inequality
104051213,triangle-inequality
104051214,triangle-inequality
104051127,multiplication
104051061,point-plotting
104051144,equation-solving
104051201,discount
104051202,discount
104051203,discount
104051237,sum-of-interior-angles-triangle
104051166,square-root
104051167,square-root
104051168,square-root
104051169,square-root
104051170,square-root
104051171,square-root
104051172,square-root
104051173,square-root
104051225,properties-of-geometric-figures
104051226,properties-of-geometric-figures
104051227,properties-of-geometric-figures
104051244,inducing-functions
104051154,multiplying-decimals
104050960,multiplication
104050965,multiplication
104050968,subtraction
104050969,subtraction
104050955,addition
104050962,multiplication
104050958,division
104050954,addition
104050961,multiplication
104050956,divide-decimals
104050970,subtraction
104050964,multiplication
104050959,multiplication
104050966,multiplication
104050957,division
104050963,multiplication
104050953,addition
104050967,multiplication
104051321,making-sense-of-expressions-and-equations
104051284,division
104051345,ordering-numbers
104051375,subtraction
104051274,multiplication
104051353,addition
104051435,fraction-division
104051436,fraction-division
104051281,multiplication
104051270,subtraction
104051267,evaluating-functions
104051268,evaluating-functions
104051269,evaluating-functions
104051340,addition
104051341,addition
104051342,addition
104051343,subtraction
104051344,addition
104051372,addition
104051327,multiplication
104051302,substitution
104051333,ordering-numbers
104051336,multiplication
104051337,multiplication
104051338,multiplication
104051339,multiplication
104051368,point-plotting
104051305,substitution
104051360,point-plotting
104051356,ordering-numbers
104051432,algebraic-manipulation
104051433,algebraic-manipulation
104051434,algebraic-manipulation
104051301,number-line
104051048,multiplication
104051049,substitution
104051050,multiplication
104051051,substitution
104051052,multiplication
104051278,division
104051308,substitution
104051297,multiplication
104051330,multiplication
104051331,multiplication
104051032,evaluating-functions
104051033,evaluating-functions
104051034,evaluating-functions
104051035,evaluating-functions
104051036,evaluating-functions
104051037,evaluating-functions
104051324,making-sense-of-expressions-and-equations
104051413,pattern-finding
104051312,substitution
104051315,substitution
104051288,subtraction
104051289,addition
104051425,algebraic-manipulation
104051318,substitution
104051364,point-plotting
104050977,exponents
104051408,substitution
104051293,addition
104051294,addition
104051295,addition
104051296,addition
104051287,division
104050983,exponents
104050645,comparing-fractions
104050640,fraction-multiplication
104050526,fraction-division
104050527,fraction-division
104050539,scientific-notation
104050540,scientific-notation
104050541,scientific-notation
104050542,scientific-notation
104050517,order-of-operations
104050437,percent-of
104050550,discount
104050536,discount
104050482,reciprocal
104050483,reciprocal
104050484,reciprocal
104050479,finding-percents
104050456,scientific-notation
104050559,multiplication
104050452,subtracting-decimals
104050463,square-root
104050531,discount
104050429,integers
104050513,fraction-multiplication
104050514,fraction-multiplication
104050515,fraction-multiplication
104050516,n-number-sense-operations
104050414,multiplying-decimals
104050470,exponents
104050632,probability
104050635,pattern-finding
104050628,equivalent-fractions-decimals-percents
104050637,probability
104050622,equation-solving
104050647,supplementary-angles
104050646,equation-solving
104050639,area
104050629,combinatorics
104050633,symbolization-articulation
104050643,mean
104050618,addition
104050636,pattern-finding
104050644,sum-of-interior-angles-more-than-3-sides
104050625,meaning-of-pi
104050623,interpreting-numberline
104050630,discount
104050648,equation-solving
104050626,probability
104050624,graph-shape
104050634,linear-area-volume-conversion
104050823,probability
104050824,probability
104050825,probability
104050826,probability
104050827,probability
104050772,equivalent-fractions-decimals-percents
104050773,probability
104050774,probability
104050775,probability
104050801,combinatorics
104050802,combinatorics
104050803,combinatorics
104050804,combinatorics
104050735,probability
104050744,probability
104050812,probability
104050835,probability
104050789,probability
104050763,probability
104050753,probability
104050201,interpreting-numberline
104050357,equation-solving
104050222,inequality-solving
104050223,inequality-solving
104050224,inequality-solving
104050225,inequality-solving
104050226,inequality-solving
104050227,interpreting-numberline
104050228,interpreting-numberline
104050197,interpreting-numberline
104050211,interpreting-numberline
104050215,inequality-solving
104050373,equation-solving
104050349,fractions
104050350,number-line
104050351,number-line
104050352,number-line
104050353,number-line
104050354,number-line
104050355,number-line
104050356,fractions
104050369,inequality-solving
104050370,inequality-solving
104050371,inequality-solving
104050372,inequality-solving
104050614,addition
104050383,inducing-functions
104050384,inducing-functions
104050385,inducing-functions
104050386,inducing-functions
104050449,making-sense-of-expressions-and-equations
104050504,square-root
104050569,square-root
104050459,multiplying-decimals
104050426,equivalent-fractions-decimals-percents
104050387,subtracting-decimals
104050606,interpreting-numberline
104050554,discount
104050555,percent-of
104050556,percent-of
104050557,percent-of
104050445,making-sense-of-expressions-and-equations
104050423,equivalent-fractions-decimals-percents
104050380,percents
104050609,equation-solving
104050725,multiplying-decimals
104051053,evaluating-functions
104051054,multiplication
104051055,unit-conversion
104051056,evaluating-functions
104050941,equation-solving
104050942,equation-solving
104050974,equation-solving
104050975,equation-solving
104051057,evaluating-functions
104051058,multiplication
104051059,unit-conversion
104051060,evaluating-functions
104050721,inducing-functions
104050685,fractions
104050686,reading-graph
104050690,fractions
104050691,reading-graph
104050692,reading-graph
104050693,reading-graph
104050694,fractions
104050695,reading-graph
104050696,reading-graph
104050697,reading-graph
104050687,fractions
104050688,reading-graph
104050689,reading-graph
104050728,discount
104050729,percent-of
104050730,percent-of
104050731,discount
104050732,discount
104050943,linear-area-volume-conversion
104050944,linear-area-volume-conversion
104051405,equation-solving
104051406,equation-solving
104051407,equation-solving
104050997,equation-solving
104050998,equation-solving
104050999,equation-solving
104050705,inducing-functions
104050724,inducing-functions
104050973,equation-solving
104051044,equation-concept
104051045,equation-concept
104051046,equation-concept
104051047,equation-concept
104050698,subtraction
104050699,subtraction
104050700,symbolization-articulation
104050701,subtraction
104050702,symbolization-articulation
104050703,symbolization-articulation
104050704,symbolization-articulation
104050945,symbolization-articulation
104050946,symbolization-articulation
104050971,reciprocal
104050972,reciprocal
104050947,pattern-finding
104050948,pattern-finding
104050949,pattern-finding
104050950,pattern-finding
104050951,pattern-finding
104050952,pattern-finding
104050001,algebraic-manipulation
104050255,symbolization-articulation
104050296,sum-of-interior-angles-more-than-3-sides
104050339,algebraic-manipulation
104050340,algebraic-manipulation
104050341,algebraic-manipulation
104050342,algebraic-manipulation
104050284,symbolization-articulation
9104050284,symbolization-articulation
104050286,symbolization-articulation
104050287,symbolization-articulation
104050288,symbolization-articulation
104050344,symbolization-articulation
104050345,symbolization-articulation
104050346,symbolization-articulation
104050347,symbolization-articulation
104050348,symbolization-articulation
104050325,order-of-operations
104050326,substitution
104050327,substitution
104050328,substitution
104050334,equation-concept
104050319,order-of-operations
104050315,symbolization-articulation
104050273,area
9104050273,area
104050274,unit-conversion
104050275,unit-conversion
104050276,area
104050277,area
104050278,rate
104050251,symbolization-articulation
104050252,symbolization-articulation
104050253,symbolization-articulation
104050254,symbolization-articulation
104050300,sum-of-interior-angles-more-than-3-sides
104050260,symbolization-articulation
104050917,mean
104050918,mean
104050919,mean
104050920,mean
104050921,mean
104050922,mean
104050923,mean
104050880,probability
104050881,mean
104050882,mean
104050883,proportion
104050884,multiplication
104050893,median
104050894,mean
104050895,mean
104050896,median
104050897,median
104050898,ordering-numbers
104050899,mean
104050900,median
104050908,reading-graph
104050909,reading-graph
104050910,reading-graph
104050911,reading-graph
104050912,reading-graph
104050930,mode
104050850,median
104050852,mean
104050853,median
104050870,mean
104050901,mean
104050902,mean
104050903,mean
104050904,mean
104050905,mean
104050906,mean
104050907,mean
104050929,statistics
104050399,graph-shape
104050441,graph-shape
104050575,median
104050434,area
104050435,area
104050436,graph-shape
104050474,interpreting-numberline
104050478,circle-graph
104050495,reading-graph
104050496,point-plotting
104050497,point-plotting
104050498,point-plotting
104050499,reading-graph
104050564,reading-graph
104050391,graph-shape
104050392,graph-shape
104050393,graph-shape
104050394,graph-shape
104050395,graph-shape
104050490,n-number-sense-operations
104050509,circle-graph
104050396,graph-shape
104050410,reading-graph
104050411,reading-graph
104050412,reading-graph
104050413,reading-graph
104050405,graph-shape
104050485,multiplication
104050657,equivalent-fractions-decimals-percents
104050655,multiplying-decimals
104050652,probability
104050660,subtracting-decimals
104050659,pattern-finding
104050661,multiplying-decimals
104050654,scientific-notation
104050650,equation-solving
104050658,n-number-sense-operations
104050653,linear-area-volume-conversion
104050651,p-patterns-relations-algebra
104050649,reading-graph
104050656,percents
104051140,equation-solving
104051141,percents
104051142,percents
104051143,equation-solving
104051123,supplementary-angles
104051124,transversals
104051197,discount
104051198,discount
104051199,discount
104051200,discount
104051249,pattern-finding
104050500,order-of-operations
104050501,order-of-operations
104050502,order-of-operations
104051250,pattern-finding
104051251,pattern-finding
104051252,pattern-finding
104051253,pattern-finding
104051254,pattern-finding
104051263,equation-solving
104051083,point-plotting
104051084,transformations-rotations
104051085,transformations-rotations
104051086,point-plotting
104051087,point-plotting
104051262,supplementary-angles
104051208,reading-graph
104051209,reading-graph
104051210,reading-graph
104051211,reading-graph
104051148,multiplying-decimals
104051149,multiplying-decimals
104051150,multiplying-decimals
104051151,multiplying-decimals
104051153,multiplying-decimals
104051132,supplementary-angles
104051133,transversals
104051134,supplementary-angles
104051181,pythagorean-theorem
104051428,sum-of-interior-angles-more-than-3-sides
104051114,multiplying-decimals
104051115,multiplying-decimals
104051116,multiplying-decimals
104051117,multiplying-decimals
104051400,congruence
104051401,congruence
104051402,perimeter
104051403,equation-solving
104051404,congruence
104051219,properties-of-geometric-figures
104051220,properties-of-geometric-figures
104051221,properties-of-geometric-figures
104051222,properties-of-geometric-figures
104051223,properties-of-geometric-figures
104051224,properties-of-geometric-figures
104051155,multiplying-decimals
104051156,multiplying-decimals
104051157,multiplying-decimals
104051158,multiplying-decimals
104051159,multiplying-decimals
104051102,equivalent-fractions-decimals-percents
104051103,of-means-multiply
104051104,equivalent-fractions-decimals-percents
104051105,fraction-multiplication
104051106,equivalent-fractions-decimals-percents
104051241,sum-of-interior-angles-triangle
104051242,supplementary-angles
104051243,sum-of-interior-angles-triangle
104051187,area
104051188,perimeter
104051189,area
104051234,sum-of-interior-angles-triangle
104051191,pattern-finding
104051192,pattern-finding
104051193,pattern-finding
104051194,pattern-finding
104051195,pattern-finding
104051196,pattern-finding
104050978,order-of-operations
104050979,exponents
104050980,order-of-operations
104050981,multiplication
104050982,order-of-operations
104051325,subtraction
104051354,addition
104051355,addition
104051414,pattern-finding
104051415,pattern-finding
104051416,pattern-finding
104051417,pattern-finding
104051271,subtraction
104051322,subtraction
104051323,making-sense-of-expressions-and-equations
104050438,percent-of
104050439,percent-of
104050440,percent-of
104050537,percent-of
104050538,percent-of
104050523,algebraic-manipulation
104050464,square-root
104050465,square-root
104050466,square-root
104050468,square-root
104050453,subtracting-decimals
104051437,noskill
104051440,noskill
104050762,probability
104050752,probability
104050794,probability
104050800,combinatorics
104050734,probability
104050743,probability
104050771,equivalent-fractions-decimals-percents
104050811,probability
104050834,probability
104050733,probability
104050822,probability
104050836,least-common-multiple
104050837,least-common-multiple
104050838,least-common-multiple
104050745,probability
104050746,probability
104050931,mode
104050932,reading-graph
104050933,reading-graph
104050934,mode
104050872,mean
104050873,mean
104050874,mean
9104050744,probability
104050747,probability
104050780,probability
9104050772,equivalent-fractions-decimals-percents
104050805,combinatorics
104050764,probability
104050765,probability
104050766,probability
104050543,proportion
104051418,proportion
104050854,linear-area-volume-conversion
104050855,linear-area-volume-conversion
104050856,linear-area-volume-conversion
104050857,linear-area-volume-conversion
104050858,linear-area-volume-conversion
104050859,linear-area-volume-conversion
104050888,fraction-decimals-percents
104050875,scientific-notation
104050935,median
104050570,square-root
104050571,square-root
104050610,equation-solving
104050233,interpreting-numberline
9104050233,interpreting-numberline
104050235,inequality-solving
104050236,inequality-solving
104050237,interpreting-numberline
104050238,inequality-solving
104050239,inequality-solving
104050240,inequality-solving
104050913,fraction-division
104050914,fraction-division
104050915,fraction-division
104050916,fraction-division
104050924,finding-percents
104050925,finding-percents
104050926,finding-percents
104050927,finding-percents
104050928,finding-percents
104050885,venn-diagram
104050886,venn-diagram
104050887,venn-diagram
104050011,inducing-functions
104050012,inducing-functions
104051020,graph-shape
